# source: http://www.linguistics.ucla.edu/people/hayes/ShakespeareAndMilton/
# author: milton
# title: paradise lost, books 8, 9.
# coder: bruce hayes
1	syllables	NO more of talk where God or Angel Guest	NO	more	of	talk	where	God	or	An	gel	Guest	
465	juncture	Stupidly good, of enmitie disarm'd,	1	1	3	5	2	1	1	4	1	5	
465	comment	Stupidly good, of enmitie disarm'd,											
466	syllables	Of guile, of hate, of envie, of revenge;	Of	guile,	of	hate,	of	en	vie,	of	re	venge;	
466	stress	Of guile, of hate, of envie, of revenge;	1	4	1	4	1	4	1	1	1	4	
466	juncture	Of guile, of hate, of envie, of revenge;	2	5	2	5	2	1	5	2	1	5	
466	comment	Of guile, of hate, of envie, of revenge;											
467	syllables	But the hot Hell that alwayes in him burnes,	But	the	hot	Hell	that	al	wayes	in	him	burnes,	
467	stress	But the hot Hell that alwayes in him burnes,	1	1	3	4	1	3	1	1	1	4	
467	juncture	But the hot Hell that alwayes in him burnes,	2	2	3	4	2	1	3	2	3	5	
467	comment	But the hot Hell that alwayes in him burnes,											
468	syllables	Though in mid Heav'n, soon ended his delight,	Though	in	mid	Heav'n,	soon	en	ded	his	de	light,	
468	stress	Though in mid Heav'n, soon ended his delight,	1	1	1	4	2	3	1	1	1	4	
468	juncture	Though in mid Heav'n, soon ended his delight,	2	2	2	5	3	1	3	2	1	5	
468	comment	Though in mid Heav'n, soon ended his delight,											
469	syllables	And tortures him now more, the more he sees	And	tor	tures	him	now	more,	the	more	he	sees	
469	stress	And tortures him now more, the more he sees	1	3	1	1	2	4	1	1	1	3	
469	juncture	And tortures him now more, the more he sees	2	1	2	3	3	5	2	3	2	3	
469	comment	And tortures him now more, the more he sees											
470	syllables	Of pleasure not for him ordain'd: then soon	Of	plea	sure	not	for	him	or	dain'd:	then	soon	
470	stress	Of pleasure not for him ordain'd: then soon	1	3	1	1	1	1	1	4	1	3	
470	juncture	Of pleasure not for him ordain'd: then soon	2	1	3	2	2	3	1	5	2	3	
470	comment	Of pleasure not for him ordain'd: then soon											
471	syllables	Fierce hate he recollects, and all his thoughts	Fierce	hate	he	re	col	lects,	and	all	his	thoughts	
471	stress	Fierce hate he recollects, and all his thoughts	3	4	1	2	1	4	1	1	1	3	
471	juncture	Fierce hate he recollects, and all his thoughts	3	4	2	1	1	5	2	2	2	3	
471	comment	Fierce hate he recollects, and all his thoughts											
472	syllables	Of mischief, gratulating, thus excites.	Of	mis	chief,	gra	tu	la	ting,	thus	ex	cites.	
472	stress	Of mischief, gratulating, thus excites.	1	4	1	4	1	2	1	1	1	3	
472	juncture	Of mischief, gratulating, thus excites.	2	1	5	1	1	1	5	2	1	5	
472	comment	Of mischief, gratulating, thus excites.											
473	syllables	Thoughts, whither have ye led me, with what sweet	Thoughts,	whi	ther	have	ye	led	me,	with	what	sweet	
473	stress	Thoughts, whither have ye led me, with what sweet	4	3	1	1	1	4	1	1	1	3	
473	juncture	Thoughts, whither have ye led me, with what sweet	5	1	3	2	2	2	5	2	2	3	
473	comment	Thoughts, whither have ye led me, with what sweet											
474	syllables	Compulsion thus transported to forget	Com	pul	sion	thus	trans	por	ted	to	for	get	
474	stress	Compulsion thus transported to forget	1	4	1	1	1	4	1	1	1	3	
474	juncture	Compulsion thus transported to forget	1	1	4	2	1	1	4	2	1	3	
474	comment	Compulsion thus transported to forget											
475	syllables	What hither brought us, hate, not love, nor hope	What	hi	ther	brought	us,	hate,	not	love,	nor	hope	
475	stress	What hither brought us, hate, not love, nor hope	1	3	1	4	1	4	1	4	1	3	
475	juncture	What hither brought us, hate, not love, nor hope	2	1	3	2	5	5	2	5	2	3	
475	comment	What hither brought us, hate, not love, nor hope											
476	syllables	Of Paradise for Hell, hope here to taste	Of	Pa	ra	dise	for	Hell,	hope	here	to	taste	
476	stress	Of Paradise for Hell, hope here to taste	1	3	1	1	1	4	3	2	1	3	
476	juncture	Of Paradise for Hell, hope here to taste	2	1	1	4	2	5	4	3	2	3	
476	comment	Of Paradise for Hell, hope here to taste											
477	syllables	Of pleasure, but all pleasure to destroy,	Of	plea	sure,	but	all	plea	sure	to	des	troy,	
477	stress	Of pleasure, but all pleasure to destroy,	1	4	1	1	1	3	1	1	1	4	
477	juncture	Of pleasure, but all pleasure to destroy,	2	1	5	2	2	1	4	2	1	5	
477	comment	Of pleasure, but all pleasure to destroy,											
478	syllables	Save what is in destroying, other joy	Save	what	is	in	des	tro	ying,	o	ther	joy	
478	stress	Save what is in destroying, other joy	2	1	1	1	1	4	1	4	1	3	
478	juncture	Save what is in destroying, other joy	2	2	2	2	1	1	5	1	3	4	
478	comment	Save what is in destroying, other joy											
479	syllables	To me is lost. Then let me not let pass	To	me	is	lost.	Then	let	me	not	let	pass	
479	stress	To me is lost. Then let me not let pass	1	1	1	4	1	3	1	1	2	3	
479	juncture	To me is lost. Then let me not let pass	2	3	2	5	2	2	2	3	3	3	
479	comment	To me is lost. Then let me not let pass											
480	syllables	Occasion which now smiles, behold alone	Oc	ca	sion	which	now	smiles,	be	hold	a	lone	
480	stress	Occasion which now smiles, behold alone	1	3	1	1	3	4	1	3	1	3	
480	juncture	Occasion which now smiles, behold alone	1	1	3	2	3	5	1	3	1	4	
480	comment	Occasion which now smiles, behold alone											
481	syllables	The Woman, opportune to all attempts,	The	Wo	man,	op	por	tune	to	all	at	tempts,	
481	stress	The Woman, opportune to all attempts,	1	4	1	2	1	3	1	1	1	4	
481	juncture	The Woman, opportune to all attempts,	2	1	5	1	1	3	2	2	1	5	
481	comment	The Woman, opportune to all attempts,											
482	syllables	Her Husband, for I view far round, not nigh,	Her	Hus	band,	for	I	view	far	round,	not	nigh,	
482	stress	Her Husband, for I view far round, not nigh,	1	4	1	1	1	3	3	4	1	4	
482	juncture	Her Husband, for I view far round, not nigh,	2	1	5	2	2	3	3	5	2	5	
482	comment	Her Husband, for I view far round, not nigh,											
483	syllables	Whose higher intellectual more I shun,	Whose	high	er	in	tel	lec	tu al	more	I	shun,	
483	stress	Whose higher intellectual more I shun,	1	3	1	2	1	4	1	2	1	4	
483	juncture	Whose higher intellectual more I shun,	2	1	3	1	1	1	4	2	2	5	
483	comment	Whose higher intellectual more I shun,											
484	syllables	And strength, of courage hautie, and of limb	And	strength,	of	cou	rage	hau	tie,	and	of	limb	
484	stress	And strength, of courage hautie, and of limb	1	4	1	3	1	4	1	1	1	4	
484	juncture	And strength, of courage hautie, and of limb	2	5	2	1	3	1	5	2	2	4	
484	comment	And strength, of courage hautie, and of limb											
485	syllables	Heroic built, though of terrestrial mould,	He	ro	ic	built,	though	of	ter	res	tri al	mould,	
485	stress	Heroic built, though of terrestrial mould,	1	3	1	4	1	1	1	3	1	4	
485	juncture	Heroic built, though of terrestrial mould,	1	1	3	5	2	2	1	1	3	5	
485	comment	Heroic built, though of terrestrial mould,											
486	syllables	Foe not informidable, exempt from wound,	Foe	not	in	for	mi	da	ble,e	xempt	from	wound,	
486	stress	Foe not informidable, exempt from wound,	3	1	1	4	1	2	1	3	1	4	
486	juncture	Foe not informidable, exempt from wound,	3	2	1	1	1	1	1	3	2	5	
486	comment	Foe not informidable, exempt from wound,											
487	syllables	I not; so much hath Hell debas'd, and paine	I	not;	so	much	hath	Hell	de	bas'd,	and	paine	
487	stress	I not; so much hath Hell debas'd, and paine	1	4	1	1	1	3	1	4	1	3	
487	juncture	I not; so much hath Hell debas'd, and paine	2	5	2	2	2	4	1	5	2	4	
487	comment	I not; so much hath Hell debas'd, and paine											
488	syllables	Infeebl'd me, to what I was in Heav'n.	In	fee	bl'd	me,	to	what	I	was	in	Heav'n.	
488	stress	Infeebl'd me, to what I was in Heav'n.	1	3	1	1	1	1	1	1	1	4	
488	juncture	Infeebl'd me, to what I was in Heav'n.	1	1	2	5	2	2	2	3	2	5	
488	comment	Infeebl'd me, to what I was in Heav'n.											
489	syllables	Shee fair, divinely fair, fit Love for Gods,	Shee	fair,	di	vine	ly	fair,	fit	Love	for	Gods,	
489	stress	Shee fair, divinely fair, fit Love for Gods,	3	4	1	3	1	4	3	3	1	4	
489	juncture	Shee fair, divinely fair, fit Love for Gods,	4	5	1	1	3	5	3	3	2	5	
489	comment	Shee fair, divinely fair, fit Love for Gods,											
490	syllables	Not terrible, though terrour be in Love	Not	ter	ri	ble,	though	ter	rour	be	in	Love	
490	stress	Not terrible, though terrour be in Love	1	4	1	1	1	3	1	1	1	3	
490	juncture	Not terrible, though terrour be in Love	2	1	1	5	2	1	4	2	2	4	
490	comment	Not terrible, though terrour be in Love											
491	syllables	And beautie, not approacht by stronger hate,	And	beau	tie,	not	ap	proacht	by	stron	ger	hate,	
491	stress	And beautie, not approacht by stronger hate,	1	4	1	1	1	3	1	3	1	4	
491	juncture	And beautie, not approacht by stronger hate,	2	1	5	2	1	3	2	1	3	5	
491	comment	And beautie, not approacht by stronger hate,											
492	syllables	Hate stronger, under shew of Love well feign'd,	Hate	stron	ger,	un	der	shew	of	Love	well	feign'd,	
492	stress	Hate stronger, under shew of Love well feign'd,	3	4	1	2	1	3	1	3	2	4	
492	juncture	Hate stronger, under shew of Love well feign'd,	4	1	5	1	2	3	2	3	3	5	
492	comment	Hate stronger, under shew of Love well feign'd,											
493	syllables	The way which to her ruin now I tend.	The	way	which	to	her	ru	in	now	I	tend.	
493	stress	The way which to her ruin now I tend.	1	3	1	1	1	4	1	3	1	4	
493	juncture	The way which to her ruin now I tend.	2	3	2	2	2	1	4	3	2	5	
493	comment	The way which to her ruin now I tend.											
494	syllables	So spake the Enemie of Mankind, enclos'd	So	spake	the	E	ne	mie of	Man	kind,	en	clos'd	
494	stress	So spake the Enemie of Mankind, enclos'd	2	3	1	3	1	1	2	4	1	3	
494	juncture	So spake the Enemie of Mankind, enclos'd	2	3	2	1	1	2	2	5	1	3	
494	comment	So spake the Enemie of Mankind, enclos'd	mankind in Milton: 28 WS; 11 SW (3 of them after postpausal Of); 4 postpausal; OED says either ok										
495	syllables	In Serpent, Inmate bad, and toward Eve	In	Ser	pent,	In	mate	bad,	and	to	ward	Eve	
495	stress	In Serpent, Inmate bad, and toward Eve	1	4	1	3	2	4	1	2	1	4	
495	juncture	In Serpent, Inmate bad, and toward Eve	2	1	5	2	3	5	2	1	2	4	
495	comment	In Serpent, Inmate bad, and toward Eve											
496	syllables	Address'd his way, not with indented wave,	Ad	dress'd	his	way,	not	with	in	den	ted	wave,	
496	stress	Address'd his way, not with indented wave,	1	3	1	4	1	1	1	3	1	4	
496	juncture	Address'd his way, not with indented wave,	1	3	2	5	2	2	1	1	3	5	
496	comment	Address'd his way, not with indented wave,											
497	syllables	Prone on the ground, as since, but on his reare,	Prone	on	the	ground,	as	since,	but	on	his	reare,	
497	stress	Prone on the ground, as since, but on his reare,	3	1	1	4	1	4	1	1	1	3	
497	juncture	Prone on the ground, as since, but on his reare,	3	2	2	5	2	5	2	2	2	5	
497	comment	Prone on the ground, as since, but on his reare,											
498	syllables	Circular base of rising foulds, that tour'd	Cir	cu	lar	base	of	ri	sing	foulds,	that	tour'd	
498	stress	Circular base of rising foulds, that tour'd	3	1	1	4	1	3	1	4	1	3	
498	juncture	Circular base of rising foulds, that tour'd	1	1	3	3	2	1	3	5	2	3	
498	comment	Circular base of rising foulds, that tour'd											
499	syllables	Fould above fould a surging Maze, his Head	Fould	a	bove	fould	a	sur	ging	Maze,	his	Head	
499	stress	Fould above fould a surging Maze, his Head	3	1	2	3	1	3	1	4	1	4	
499	juncture	Fould above fould a surging Maze, his Head	4	1	2	4	2	1	3	5	2	4	
499	comment	Fould above fould a surging Maze, his Head											
500	syllables	Crested aloft, and Carbuncle his Eyes;	Cres	ted	a	loft,	and	Car	bun	cle	his	Eyes;	
500	stress	Crested aloft, and Carbuncle his Eyes;	3	1	1	4	1	3	1	1	1	4	
500	juncture	Crested aloft, and Carbuncle his Eyes;	1	3	1	5	2	1	1	4	2	5	
500	comment	Crested aloft, and Carbuncle his Eyes;											
501	syllables	With burnisht Neck of verdant Gold, erect	With	bur	nisht	Neck	of	ver	dant	Gold,	e	rect	
501	stress	With burnisht Neck of verdant Gold, erect	1	3	1	3	1	3	1	4	1	3	
501	juncture	With burnisht Neck of verdant Gold, erect	2	1	3	3	2	1	3	5	1	3	
501	comment	With burnisht Neck of verdant Gold, erect											
502	syllables	Amidst his circling Spires, that on the grass	A	midst	his	cir	cling	Spires,	that	on	the	grass	
502	stress	Amidst his circling Spires, that on the grass	1	2	1	3	1	4	1	1	1	3	
502	juncture	Amidst his circling Spires, that on the grass	1	2	2	1	3	5	2	2	2	4	
502	comment	Amidst his circling Spires, that on the grass											
503	syllables	Floted redundant: pleasing was his shape,	Flo	ted	re	dun	dant:	plea	sing	was	his	shape,	
503	stress	Floted redundant: pleasing was his shape,	3	1	1	4	1	3	1	1	1	3	
503	juncture	Floted redundant: pleasing was his shape,	1	3	1	1	5	1	4	2	2	5	
503	comment	Floted redundant: pleasing was his shape,											
504	syllables	And lovely, never since of Serpent kind	And	love	ly,	ne	ver	since	of	Ser	pent	kind	
504	stress	And lovely, never since of Serpent kind	1	4	1	3	1	3	1	3	1	3	
504	juncture	And lovely, never since of Serpent kind	2	1	5	1	3	4	2	1	3	4	
504	comment	And lovely, never since of Serpent kind											
505	syllables	Lovelier, not those that in Illyria chang'd	Love	li er,	not	those	that	in	Il	ly	ria	chang'd	
505	stress	Lovelier, not those that in Illyria chang'd	4	1	1	2	1	1	1	3	1	3	
505	juncture	Lovelier, not those that in Illyria chang'd	1	5	2	2	2	2	1	1	4	3	
505	comment	Lovelier, not those that in Illyria chang'd											
506	syllables	Hermione and Cadmus, or the God	Her	mi	o	ne	and	Cad	mus,	or	the	God	
506	stress	Hermione and Cadmus, or the God	1	3	1	1	1	4	1	1	1	3	
506	juncture	Hermione and Cadmus, or the God	1	1	1	4	2	1	5	2	2	3	
506	comment	Hermione and Cadmus, or the God											
507	syllables	In Epidaurus; nor to which transformd	In	E	pi	dau	rus;	nor	to	which	trans	formd	
507	stress	In Epidaurus; nor to which transformd	1	2	1	4	1	1	1	1	1	3	
507	juncture	In Epidaurus; nor to which transformd	2	1	1	1	5	2	2	3	1	3	
507	comment	In Epidaurus; nor to which transformd											
508	syllables	Ammonian Jove, or Capitoline was seen,	Am	mo	ni an	Jove,	or	Ca	pi to	line	was	seen,	
508	stress	Ammonian Jove, or Capitoline was seen,	1	3	1	4	1	3	1	1	1	4	
508	juncture	Ammonian Jove, or Capitoline was seen,	1	1	3	5	2	1	1	4	2	5	
508	comment	Ammonian Jove, or Capitoline was seen,	Capitoline in Milton: hapax, OED says stress on second syllable.  BH:  Note elision is also odd.  Milton treats capital as disyllabic 4/5 times.  So perhaps most likely story is cap'toline, with initial stress?										
509	syllables	Hee with Olympias, this with her who bore	Hee	with	O	lym	pi as,	this	with	her	who	bore	
509	stress	Hee with Olympias, this with her who bore	3	1	1	4	1	2	1	2	1	3	
509	juncture	Hee with Olympias, this with her who bore	3	2	1	1	5	3	2	3	2	3	
509	comment	Hee with Olympias, this with her who bore											
510	syllables	Scipio the highth of Rome . With tract oblique	Sci	pio	the	highth	of	Rome .	With	tract	o	blique	
510	stress	Scipio the highth of Rome . With tract oblique	3	1	1	3	1	4	1	3	1	4	
510	juncture	Scipio the highth of Rome . With tract oblique	1	4	2	3	2	5	2	3	1	4	
510	comment	Scipio the highth of Rome . With tract oblique											
511	syllables	At first, as one who sought access, but feard	At	first,	as	one	who	sought	ac	cess,	but	feard	
511	stress	At first, as one who sought access, but feard	1	3	1	1	1	3	1	4	1	3	
511	juncture	At first, as one who sought access, but feard	2	5	2	3	2	3	1	5	2	3	
511	comment	At first, as one who sought access, but feard	access in Milton: as noun: 8 WS										
512	syllables	To interrupt, side-long he works his way.	To	in	ter	rupt,	side-	long	he	works	his	way.	
512	stress	To interrupt, side-long he works his way.	1	2	1	4	2	3	1	3	1	4	
512	juncture	To interrupt, side-long he works his way.	2	1	1	5	2	4	2	3	2	5	
512	comment	To interrupt, side-long he works his way.											
513	syllables	As when a Ship by skilful Stearsman wrought	As	when	a	Ship	by	skil	ful	Stears	man	wrought	
513	stress	As when a Ship by skilful Stearsman wrought	1	1	1	3	1	3	1	4	1	3	
513	juncture	As when a Ship by skilful Stearsman wrought	2	2	2	4	2	1	3	1	4	4	
513	comment	As when a Ship by skilful Stearsman wrought											
514	syllables	Nigh Rivers mouth or Foreland, where the Wind	Nigh	Ri	vers	mouth	or	Fore	land,	where	the	Wind	
514	stress	Nigh Rivers mouth or Foreland, where the Wind	1	3	1	4	1	4	2	1	1	3	
514	juncture	Nigh Rivers mouth or Foreland, where the Wind	2	1	3	4	2	2	5	2	2	4	
514	comment	Nigh Rivers mouth or Foreland, where the Wind											
515	syllables	Veres oft, as oft so steers, and shifts her Saile;	Veres	oft,	as	oft	so	steers,	and	shifts	her	Saile;	
515	stress	Veres oft, as oft so steers, and shifts her Saile;	3	4	1	3	1	4	1	3	1	4	
515	juncture	Veres oft, as oft so steers, and shifts her Saile;	3	5	2	3	2	5	2	3	2	5	
515	comment	Veres oft, as oft so steers, and shifts her Saile;											
516	syllables	So varied hee, and of his tortuous Traine	So	va	ried	hee,	and	of	his	tor	tu ous	Traine	
516	stress	So varied hee, and of his tortuous Traine	1	3	1	2	1	1	1	3	1	4	
516	juncture	So varied hee, and of his tortuous Traine	2	1	3	5	2	2	2	1	3	4	
516	comment	So varied hee, and of his tortuous Traine											
517	syllables	Curld many a wanton wreath in sight of Eve,	Curld	ma	ny a	wan	ton	wreath	in	sight	of	Eve,	
517	stress	Curld many a wanton wreath in sight of Eve,	3	2	1	3	1	4	1	3	1	4	
517	juncture	Curld many a wanton wreath in sight of Eve,	3	1	2	1	3	4	2	3	2	5	
517	comment	Curld many a wanton wreath in sight of Eve,											
518	syllables	To lure her Eye; shee busied heard the sound	To	lure	her	Eye;	shee	bu	sied	heard	the	sound	
518	stress	To lure her Eye; shee busied heard the sound	1	3	1	4	2	3	1	3	1	3	
518	juncture	To lure her Eye; shee busied heard the sound	2	3	2	5	3	1	4	3	2	3	
518	comment	To lure her Eye; shee busied heard the sound											
519	syllables	Of rusling Leaves, but minded not, as us'd	Of	rus	ling	Leaves,	but	min	ded	not,	as	us'd	
519	stress	Of rusling Leaves, but minded not, as us'd	1	3	1	4	1	3	1	1	1	4	
519	juncture	Of rusling Leaves, but minded not, as us'd	2	1	3	5	2	1	2	5	2	3	
519	comment	Of rusling Leaves, but minded not, as us'd											
